Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
232,Jaylen Brown\brownja02,20-207,F-G,BOS,,CLE,L,2017-05-19 *,0,24,7,11,.636,7,9,.778,0,2,.000,5,5,1.000,1,3,4,1,2,0,3,5,19,13.4,4.0
233,Jae Crowder\crowdja01,26-317,F,BOS,,CLE,L,2017-05-19 *,1,23,3,9,.333,2,5,.400,1,4,.250,2,2,1.000,0,4,4,1,1,0,1,1,9,5.4,-4.1
234,Channing Frye\fryech01,34-002,C-F,CLE,@,BOS,W,2017-05-19 *,0,14,3,6,.500,2,4,.500,1,2,.500,0,0,,0,1,1,3,0,0,1,2,7,4.6,0.1
235,Gerald Green\greenge01,31-113,G-F,BOS,,CLE,L,2017-05-19 *,1,14,2,4,.500,0,1,.000,2,3,.667,0,0,,0,0,0,0,0,0,1,1,6,2.6,-3.6
236,Al Horford\horfoal01,30-350,C-F,BOS,,CLE,L,2017-05-19 *,1,27,4,9,.444,2,5,.400,2,4,.500,1,2,.500,1,4,5,2,0,2,3,1,11,7.2,-1.8
237,Kyrie Irving\irvinky01,25-057,G,CLE,@,BOS,W,2017-05-19 *,1,30,8,11,.727,5,5,1.000,3,6,.500,4,5,.800,0,1,1,3,1,1,4,2,23,17.4,5.8
238,LeBron James\jamesle01,32-140,F-G,CLE,@,BOS,W,2017-05-19 *,1,33,12,18,.667,8,12,.667,4,6,.667,2,4,.500,0,4,4,7,4,3,1,1,30,32.2,24.6
239,Richard Jefferson\jefferi01,36-332,F,CLE,@,BOS,W,2017-05-19 *,0,19,3,7,.429,1,3,.333,2,4,.500,2,4,.500,2,3,5,1,0,2,1,0,10,8.9,3.8
240,Jonas Jerebko\jerebjo01,30-078,F,BOS,,CLE,L,2017-05-19 *,0,16,2,4,.500,2,3,.667,0,1,.000,0,0,,1,1,2,2,0,0,0,0,4,4.4,-0.5
241,Amir Johnson\johnsam01,30-018,F-C,BOS,,CLE,L,2017-05-19 *,0,12,1,4,.250,1,4,.250,0,0,,0,0,,1,2,3,1,2,0,1,1,2,2.2,-4.5
242,Dahntay Jones\jonesda02,36-143,G-F,CLE,@,BOS,W,2017-05-19 *,0,6,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-13.1
243,James Jones\jonesja02,36-227,F-G,CLE,@,BOS,W,2017-05-19 *,0,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,3,0,-3.3,-25.7
244,Kyle Korver\korveky01,36-063,G-F,CLE,@,BOS,W,2017-05-19 *,0,12,2,5,.400,0,0,,2,5,.400,2,2,1.000,0,1,1,0,0,0,0,1,8,5.2,0.2
